author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
MR Group;https://www.cian.ru/sale/flat/287781581/;Москва;sale;flat;-1;-1;-1;-1;42110754;Беговой;Северный ао;Белорусская;Слава ЖК
ИТКОЛ;https://www.cian.ru/sale/flat/287529888/;Москва;sale;flat;7;9;1;18.0;6876000;Аэропорт;Большой Коптевский проезд;Красный Балтиец;
Sminex-Интеко;https://www.cian.ru/sale/flat/281896677/;Москва;sale;flat;1;5;1;45.91;111070000;Тверской;;Площадь Революции;Ильинка 3/8 ЖК
Константин Кудрявцев;https://www.cian.ru/sale/flat/283849683/;Москва;sale;flat;1;5;1;12.0;3500000;Текстильщики;Шкулева;Волжская;
Мангазея;https://www.cian.ru/sale/flat/288319597/;Москва;sale;flat;7;21;1;47.6;20540352;Щукино;Щукинская;Стрешнево;Интонация
ФСК Агент;https://www.cian.ru/sale/flat/286454780/;Москва;sale;flat;3;34;1;43.2;12100000;Западное Дегунино;Ижорская;Ховрино;
Логос;https://www.cian.ru/sale/flat/286010720/;Москва;sale;flat;7;13;1;43.2;24074937;Даниловский;Подольское шоссе;Тульская;Logos
ID 102136095;https://www.cian.ru/sale/flat/286309827/;Москва;sale;flat;2;9;1;33.0;9000000;Северное Медведково;Широкая;Медведково;
ASTERUS;https://www.cian.ru/sale/flat/278929027/;Москва;sale;flat;-1;-1;-1;202.0;16073895;Покровское-Стрешнево;;Тушинская;Алиа ЖК
White and Broughton;https://www.cian.ru/sale/flat/280986757/;Москва;sale;flat;17;41;1;40.4;25000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Аеон-Девелопмент;https://www.cian.ru/sale/flat/286123071/;Москва;sale;flat;-1;-1;-1;202.0;24837063;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
White and Broughton;https://www.cian.ru/sale/flat/283638079/;Москва;sale;flat;9;41;1;40.5;25000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
